workout_5605,workout_5606,workout_5607
724.0,18.0,215.0
613.0,14.0,205.0
526.0,11.0,185.0
709.0,16.0,215.0
720.0,19.0,206.0
636.0,15.0,205.0
541.0,10.0,195.0
785.0,22.0,195.0
554.0,13.0,185.0
626.0,14.0,205.0
858.0,18.0,225.0
877.0,16.0,231.0
668.0,14.0,215.0
918.0,19.0,225.0
692.0,15.0,215.0
578.0,13.0,195.0
666.0,10.0,225.0
976.0,21.0,215.0
818.0,17.0,225.0
653.0,15.0,205.0
823.0,17.0,225.0
602.0,13.0,202.0
691.0,18.0,196.0
735.0,15.0,225.0
576.0,12.0,195.0
720.0,15.0,216.0
547.0,8.0,195.0
745.0,15.0,225.0
745.0,15.0,225.0
720.0,17.0,205.0
599.0,12.0,202.0
643.0,14.0,205.0
718.0,15.0,215.0
885.0,23.0,195.0
816.0,20.0,207.0
720.0,17.0,205.0
720.0,14.0,225.0
634.0,15.0,195.0
720.0,13.0,225.0
724.0,15.0,216.0
617.0,14.0,195.0
527.0,8.0,175.0
879.0,21.0,205.0
717.0,18.0,195.0
658.0,14.0,205.0
712.0,16.0,205.0
818.0,16.0,225.0
713.0,16.0,205.0
817.0,18.0,215.0
574.0,12.0,185.0
601.0,14.0,185.0
634.0,14.0,198.0
716.0,14.0,215.0
720.0,17.0,205.0
580.0,11.0,187.39
741.0,16.0,215.0
819.0,19.0,207.0
704.0,13.0,215.0
669.0,17.0,185.0
772.0,15.0,217.0
822.0,21.0,195.0
743.0,13.0,225.0
588.0,10.0,190.0
723.0,12.0,225.0
744.0,17.0,205.0
874.0,18.0,215.0
881.0,17.0,220.0
612.0,11.0,195.0
720.0,14.0,215.0
614.0,8.0,205.0
829.0,17.0,215.0
661.0,12.0,205.0
626.0,13.0,186.0
650.0,11.0,205.0
562.0,7.0,185.0
764.0,17.0,205.0
720.0,17.0,195.0
810.0,18.0,205.0
720.0,15.0,205.0
847.0,16.0,217.0
770.0,16.0,210.0
688.0,15.0,195.0
867.0,16.0,220.0
932.0,16.0,225.0
572.0,8.0,182.0
648.0,14.0,185.0
833.0,20.0,195.0
567.0,5.0,185.0
